id,box_orig,box_n,doc,# language,,,doc_filename,fecha_orig,"description_excel_divided
",_material,year,keywords,_height,_width,_time,_description,xidold,nombre_nuevo,rvtipo_esp,,content category,filename_orig_,description_filename_orig,th_filename,,tkb_subido,tkb_textto_regiones,tkb_etiquetas_tags,,kg_en_proceso,kg_relaciones,kg_entidades
0,box_55,55,1,,,p1,,"July 1971, November 1971",,correspondencefromstartoftheproject,box_55,official letter,,,,correspondence from start of the project,sbc_b_55_correspondencefromstartoftheproject_p_00_high.jpg,sbc_b_55_correspondencefromstartoftheproject_p_00_high.jpg,carta_oficial,tw,docuimento de tres puntos convenio corfo y staffor beer detallando pagos,staffordbeercollectioncorrespondencefromstartoftheproject_p_00.tiff,correspondencefromstartoftheproject,sbc_b_55_correspondencefromstartoftheproject_p_00_th.png,,v,v,,,,,
1,box_55,55,1,,,p2,,"July 1971, November 1971",,correspondencefromstartoftheproject,box_55,official letter,,,,correspondence from start of the project,sbc_b_55_correspondencefromstartoftheproject_p_01_high.jpg,sbc_b_55_correspondencefromstartoftheproject_p_01_high.jpg,carta_oficial,tw,carta beer a flores,staffordbeercollectioncorrespondencefromstartoftheproject_p_01.tiff,correspondencefromstartoftheproject,sbc_b_55_correspondencefromstartoftheproject_p_01_th.png,,v,v,,,,,
2,box_55,55,1,,,p3,,"July 1971, November 1971",,correspondencefromstartoftheproject,box_55,official letter,,,,correspondence from start of the project,sbc_b_55_correspondencefromstartoftheproject_p_02_high.jpg,sbc_b_55_correspondencefromstartoftheproject_p_02_high.jpg,carta_oficial,tw,carta beer a flores,staffordbeercollectioncorrespondencefromstartoftheproject_p_02.tiff,correspondencefromstartoftheproject,sbc_b_55_correspondencefromstartoftheproject_p_02_th.png,,v,v,,,,,
3,box_55,55,2,,,p1,,"July 1971, November 1971",,correspondencefromstartoftheprojectthumbnail,box_55,other,,,,correspondence from start of the project thumbnail,sbc_b_55_correspondencefromstartoftheprojectthumbnail_p_00_high.jpg,sbc_b_55_correspondencefromstartoftheprojectthumbnail_p_00_high.jpg,otro,ot,portada carpeta plastica,staffordbeercollectioncorrespondencefromstartoftheprojectthumbnail_p_00.tiff,correspondencefromstartoftheprojectthumbnail,sbc_b_55_correspondencefromstartoftheprojectthumbnail_p_00_th.png,,r,r,,,,,
4,box_55,55,3,,,,,12/04/72,,letterstopresidentallende,box_55,official letter,,,,letters to president allende,sbc_b_55_letterstopresidentallende_p_00_high.jpg,sbc_b_55_letterstopresidentallende_p_00_high.jpg,carta_oficial,tw,letters to presiden tallende comentando que esta orgulloso de ayudar. ,staffordbeercollectionletterstopresidentallende_p_00.tiff,letterstopresidentallende,sbc_b_55_letterstopresidentallende_p_00_th.png,,v,,,,,,
5,box_55,55,3,,,,,30/05/72,,letterstopresidentallende,box_55,official letter,,,,letters to president allende,sbc_b_55_letterstopresidentallende_p_01_high.jpg,sbc_b_55_letterstopresidentallende_p_01_high.jpg,carta_oficial,tw,,staffordbeercollectionletterstopresidentallende_p_01.tiff,letterstopresidentallende,sbc_b_55_letterstopresidentallende_p_01_th.png,,v,,,,,,
6,box_55,55,3,,,,,02/08/73,,letterstopresidentallende,box_55,official letter,,,,letters to president allende,sbc_b_55_letterstopresidentallende_p_02_high.jpg,sbc_b_55_letterstopresidentallende_p_02_high.jpg,carta_oficial,tw,,staffordbeercollectionletterstopresidentallende_p_02.tiff,letterstopresidentallende,sbc_b_55_letterstopresidentallende_p_02_th.png,,v,,,,,,
7,box_55,55,3,,,,,03/08/73,,letterstopresidentallende,box_55,official letter,,,,letters to president allende,sbc_b_55_letterstopresidentallende_p_03_high.jpg,sbc_b_55_letterstopresidentallende_p_03_high.jpg,carta_oficial,,,staffordbeercollectionletterstopresidentallende_p_03.tiff,letterstopresidentallende,sbc_b_55_letterstopresidentallende_p_03_th.png,,v,,,,,,
8,box_55,55,3,,,,,03/08/73,,letterstopresidentallende,box_55,official letter,,,,letters to president allende,sbc_b_55_letterstopresidentallende_p_04_high.jpg,sbc_b_55_letterstopresidentallende_p_04_high.jpg,carta_oficial,,,staffordbeercollectionletterstopresidentallende_p_04.tiff,letterstopresidentallende,sbc_b_55_letterstopresidentallende_p_04_th.png,,v,,,,,,
9,box_55,55,4,,,p1,,11/1/1971,,notesfromfirstvisitgeneralnotes,box_55,manuscript,,,,notes from first visit general notes,sbc_b_55_notesfromfirstvisitgeneralnotes_p_00_high.jpg,sbc_b_55_notesfromfirstvisitgeneralnotes_p_00_high.jpg,manuscrito,hw,texto breve como ortada sobre La Civilization au carrefour de Radovan Richta,staffordbeercollectionnotesfromfirstvisitgeneralnotes_p_00.tiff,notesfromfirstvisitgeneralnotes,sbc_b_55_notesfromfirstvisitgeneralnotes_p_00_th.png,,v,,,,,,
10,box_55,55,4,,,,,11/1/1971,,notesfromfirstvisitgeneralnotes,box_55,manuscript,,,,notes from first visit general notes,sbc_b_55_notesfromfirstvisitgeneralnotes_p_01_high.jpg,sbc_b_55_notesfromfirstvisitgeneralnotes_p_01_high.jpg,manuscrito,hw,,staffordbeercollectionnotesfromfirstvisitgeneralnotes_p_01.tiff,notesfromfirstvisitgeneralnotes,sbc_b_55_notesfromfirstvisitgeneralnotes_p_01_th.png,,v,,,,,,
11,box_55,55,4,,,,,11/1/1971,,notesfromfirstvisitgeneralnotes,box_55,manuscript,,,,notes from first visit general notes,sbc_b_55_notesfromfirstvisitgeneralnotes_p_02_high.jpg,sbc_b_55_notesfromfirstvisitgeneralnotes_p_02_high.jpg,manuscrito,,,staffordbeercollectionnotesfromfirstvisitgeneralnotes_p_02.tiff,notesfromfirstvisitgeneralnotes,sbc_b_55_notesfromfirstvisitgeneralnotes_p_02_th.png,,v,,,,,,
12,box_55,55,4,,,,,11/1/1971,,notesfromfirstvisitgeneralnotes,box_55,manuscript,,,,notes from first visit general notes,sbc_b_55_notesfromfirstvisitgeneralnotes_p_03_high.jpg,sbc_b_55_notesfromfirstvisitgeneralnotes_p_03_high.jpg,manuscrito,,,staffordbeercollectionnotesfromfirstvisitgeneralnotes_p_03.tiff,notesfromfirstvisitgeneralnotes,sbc_b_55_notesfromfirstvisitgeneralnotes_p_03_th.png,,v,,,,,,
13,box_55,55,4,,,,,11/1/1971,,notesfromfirstvisitgeneralnotes,box_55,manuscript,,,,notes from first visit general notes,sbc_b_55_notesfromfirstvisitgeneralnotes_p_04_high.jpg,sbc_b_55_notesfromfirstvisitgeneralnotes_p_04_high.jpg,manuscrito,,,staffordbeercollectionnotesfromfirstvisitgeneralnotes_p_04.tiff,notesfromfirstvisitgeneralnotes,sbc_b_55_notesfromfirstvisitgeneralnotes_p_04_th.png,,v,,,,,,
14,box_55,55,4,,,,,11/1/1971,,notesfromfirstvisitgeneralnotes,box_55,manuscript,,,,notes from first visit general notes,sbc_b_55_notesfromfirstvisitgeneralnotes_p_05_high.jpg,sbc_b_55_notesfromfirstvisitgeneralnotes_p_05_high.jpg,manuscrito,,,staffordbeercollectionnotesfromfirstvisitgeneralnotes_p_05.tiff,notesfromfirstvisitgeneralnotes,sbc_b_55_notesfromfirstvisitgeneralnotes_p_05_th.png,,v,,,,,,
15,box_55,55,4,,,,,11/1/1971,,notesfromfirstvisitgeneralnotes,box_55,hand-drawn_diagram,,,,notes from first visit general notes,sbc_b_55_notesfromfirstvisitgeneralnotes_p_06_high.jpg,sbc_b_55_notesfromfirstvisitgeneralnotes_p_06_high.jpg,diagrama_manuscrito,hd,,staffordbeercollectionnotesfromfirstvisitgeneralnotes_p_06.tiff,notesfromfirstvisitgeneralnotes,sbc_b_55_notesfromfirstvisitgeneralnotes_p_06_th.png,,v,,,,,,
16,box_55,55,4,,,,,11/1/1971,,notesfromfirstvisitgeneralnotes,box_55,manuscript,,,,notes from first visit general notes,sbc_b_55_notesfromfirstvisitgeneralnotes_p_07_high.jpg,sbc_b_55_notesfromfirstvisitgeneralnotes_p_07_high.jpg,manuscrito,,,staffordbeercollectionnotesfromfirstvisitgeneralnotes_p_07.tiff,notesfromfirstvisitgeneralnotes,sbc_b_55_notesfromfirstvisitgeneralnotes_p_07_th.png,,v,,,,,,
17,box_55,55,4,,,,,11/1/1971,,notesfromfirstvisitgeneralnotes,box_55,hand-drawn_diagram,,,,notes from first visit general notes,sbc_b_55_notesfromfirstvisitgeneralnotes_p_08_high.jpg,sbc_b_55_notesfromfirstvisitgeneralnotes_p_08_high.jpg,diagrama_manuscrito,,,staffordbeercollectionnotesfromfirstvisitgeneralnotes_p_08.tiff,notesfromfirstvisitgeneralnotes,sbc_b_55_notesfromfirstvisitgeneralnotes_p_08_th.png,,v,,,,,,
18,box_55,55,4,,,,,11/1/1971,,notesfromfirstvisitgeneralnotes,box_55,manuscript,,,,notes from first visit general notes,sbc_b_55_notesfromfirstvisitgeneralnotes_p_09_high.jpg,sbc_b_55_notesfromfirstvisitgeneralnotes_p_09_high.jpg,manuscrito,,,staffordbeercollectionnotesfromfirstvisitgeneralnotes_p_09.tiff,notesfromfirstvisitgeneralnotes,sbc_b_55_notesfromfirstvisitgeneralnotes_p_09_th.png,,v,,,,,,
