,keywords,xyear,_material,_height,_width,year,_description,id
0,"sketch,drawing",1890,typewritten,850,1340,1970-A,Contours of a Figure,0
1,"Paris,painting,study,Still Life",1886,handwritten,2700,3500,1970-B,Male Torso,1
2,"Paris,painting,study,Still Life",1887,handwritten,2710,4080,1971-A,Plaster Cast of a Woman&#39;s Torso,2
3,"Nuenen,sketch,drawing",1884,other,750,1240,1971-B,Head of a Man,3
4,"Nuenen,sketch,drawing",1884,other,750,1240,1972-A,Head of a Woman and an indistinct image,4
5,"Arles,painting,Cityscape",1888,handwritten,9150,7200,1972-B,The Yellow House (The Street),5
6,"Auvers-sur-Oise,drawing,Animals",1890,other,4370,2690,1973-A,Horse and Carriage,6
7,"Saint-Rémy-de-Provence,painting,Figures,Peasant Life",1889,handwritten,2800,4200,1973-B,Thresher (after Millet),7
8,"Saint-Rémy-de-Provence,drawing,Figures,Animals,Peasant Life",1889,typewritten,2470,3300,1970-A,Study of Horses and Peasants,8
9,"Saint-Rémy-de-Provence,drawing,landscape",1890,other,3290,2490,1970-B,The Walled Wheatfield,9
10,"Saint-Rémy-de-Provence,drawing,Figures,Peasant Life",1890,typewritten,2730,2390,1971-A,Man Working in a Field,10
11,"Paris,drawing,Cityscape",1887,other,2410,3160,1971-B,Shed with Sunflowers,11
12,"The Hague,print,Figures",1882,handwritten-diagram,2700,4280,1972-A,Old Man Drinking Coffee,12
13,"Nuenen,sketch,drawing",1884,typewritten,750,1240,1972-B,Head of a Woman,13
14,"sketch,drawing",1890,typewritten,850,1340,1973-A,Contours of a figure,14
15,"The Hague,drawing,Animals",1883,other,6350,5100,1973-B,Old Nag,15
16,"The Hague,print,Figures",1882,handwritten-diagram,3150,4800,1970-A,A Workman&#39;s Meal Break,16
17,"Saint-Rémy-de-Provence,painting,landscape,Nature",1889,handwritten,6430,4900,1970-B,Undergrowth,17
18,"Auvers-sur-Oise,drawing,Townscape,landscape",1890,other,5440,4400,1971-A,Landscape with Houses,18
19,"Antwerp,drawing,interior",1885,typewritten,1630,920,1971-B,Couple Dancing,19
20,"The Hague,drawing,Figures,Heads",1882,other,2800,5010,1972-A,Head of a Woman,20
21,"Paris,painting,Self-Portrait",1887,handwritten,3130,4320,1972-B,Self-Portrait,21
22,"Arles,painting,Still Life",1889,handwritten,7300,9500,1973-A,Sunflowers,22
23,"Etten,drawing,Figures",1881,other,2420,3080,1973-B,Study of a Hand,23
24,"sketch,drawing",1890,other,850,1340,1970-A,Standing Girl,24
25,"1871 - 1880,The Hague,drawing,Cityscape",1872,other,1690,2220,1970-B,"Lange Vijverberg, The Hague",25
26,"Nuenen,drawing,Still Life",1885,typewritten,2100,3450,1971-A,"Clock, Clog with Cutlery and a Spoon Rack",26
27,Paris,1886,typewritten,1980,1090,1971-B,Note,27
28,"1871 - 1880,Brussels,drawing,study,Portrait",1880,other,3050,4260,1972-A,The Daughter of Jacob Meyer (after Bargue after Holbein),28
29,"Arles,painting,Cityscape,landscape",1888,handwritten,7360,5960,1972-B,The Langlois Bridge,29
30,"Auvers-sur-Oise,drawing,Townscape",1890,typewritten,2370,3100,1973-A,Village Street,30
31,"sketch,drawing",1890,typewritten,850,1340,1973-B,Woman on a Velocipede,31
32,"Paris,painting,Self-Portrait",1886,handwritten,3800,4600,1970-A,Self-Portrait with Pipe,32
33,"Paris,drawing,Animals",1887,other,2620,3530,1970-B,Barn Owl Viewed from the Front,33
34,"sketch,drawing",1890,typewritten,850,1340,1971-A,Mother and Child,34
35,"Nuenen,sketch,drawing",1884,typewritten,750,1240,1971-B,Hand,35
36,"Nuenen,drawing,Figures",1885,typewritten,2080,3470,1972-A,Woman with a Mourning Shawl,36
37,"Paris,painting,Cityscape,landscape",1887,handwritten,6530,4940,1972-B,By the Seine,37
38,"Saint-Rémy-de-Provence,drawing,Animals",1889,typewritten,2100,1350,1973-A,Giant Peacock Moth and Beetle,38
39,"Arles,drawing,landscape",1888,other,3490,2580,1973-B,Farmhouse in a Wheatfield,39
40,"Paris,drawing,study,Figures,Still Life,nude",1886,typewritten,3520,4730,1970-A,Idol and Sketches of Venus,40
41,"The Hague,drawing,Figures",1882,other,2760,4910,1970-B,Woman with a Broom,41
42,"Nuenen,sketch,drawing",1884,other,750,1240,1971-A,Perspective frame,42
43,"Nuenen,painting,study,Figures,Heads,Peasant Life",1885,handwritten,3450,4220,1971-B,Head of a Woman,43
44,"Nuenen,drawing,Figures,Peasant Life",1885,typewritten,3210,2250,1972-A,Peasant Lifting Potatoes,44
45,"Paris,drawing,Figures",1886,other,800,1110,1972-B,Sheet of Sketches,45
46,Nuenen,1884,other,750,1240,1973-A,Notes,46
47,"Saint-Rémy-de-Provence,painting,landscape,Peasant Life",1890,handwritten,9200,7210,1973-B,Snow-Covered Field with a Harrow (after Millet),47
48,"Auvers-sur-Oise,print,Portrait",1890,handwritten-diagram,1480,1450,1970-A,Portrait of Dr Gachet,48
49,"Paris,drawing,Figures",1887,other,2630,3940,1970-B,Tracing of the Cover of Paris Illustr&#233;. Le Japon,49
50,"Nuenen,drawing,landscape,Nature",1884,other,2340,2000,1971-A,The Vicarage Garden,50
51,"Nieuw Amsterdam,painting,Figures,landscape,Peasant Life",1883,handwritten,3650,2780,1971-B,Women on the Peat Moor,51
52,"Nuenen,drawing,Figures,landscape,Peasant Life",1883,typewritten,2550,1560,1972-A,Figures in a Winter Landscape,52
53,"Saint-Rémy-de-Provence,drawing,Figures,interior,Peasant Life",1890,other,4980,3330,1972-B,Interior with Ten Figures,53
54,"Saint-Rémy-de-Provence,drawing,Figures",1890,other,710,2300,1973-A,Sketch of a Woman Seated at a Table and a Woman Standing,54
55,"Saint-Rémy-de-Provence,painting,landscape,Nature",1890,handwritten,2720,4350,1973-B,Cypresses and Two Women,55
56,"Saint-Rémy-de-Provence,painting,Biblical Scene",1889,handwritten,6050,7300,1970-A,Piet&#224; (after Delacroix),56
57,"Nuenen,drawing,landscape,Townscape",1883,typewritten,1030,1050,1970-B,Landscape with a Church,57
58,"Nuenen,painting,Townscape",1885,handwritten,4300,3320,1971-A,The Vicarage at Nuenen,58
59,"Nuenen,painting,Still Life,Peasant Life",1885,handwritten,4430,3400,1971-B,Bobbin Winder,59
60,"Paris,drawing,Figures,nude",1887,other,3110,2440,1972-A,Sorrowing Woman,60
61,"sketch,drawing",1890,other,850,1340,1972-B,Mount,61
62,"Nuenen,drawing,Figures,Peasant Life",1884,other,4530,3420,1973-A,Weaver,62
63,"Paris,drawing,study,Figures,Still Life,nude",1886,typewritten,3150,4760,1973-B,Torso of Venus,63
64,"Paris,painting,Self-Portrait",1887,handwritten,3010,4190,1970-A,Self-Portrait with Pipe and Straw Hat,64
65,"Antwerp,drawing,Figures",1886,typewritten,3920,5090,1970-B,Seated Man with a Beard,65
66,"Paris,drawing,Figures,nude",1886,typewritten,4820,6170,1971-A,Seated Male Nude Seen from the Back,66
67,"The Hague,drawing,landscape",1882,,3440,2460,1971-B,Country Road,67
68,"Antwerp,painting,study,Portrait,Figures,Heads",1885,handwritten,3850,4630,1972-A,Portrait of a Prostitute,68
69,"Nuenen,drawing,study,Figures",1884,typewritten,3440,2080,1972-B,Arm,69
70,"Saint-Rémy-de-Provence,drawing,Nature",1889,other,2060,2980,1973-A,Almond Tree and Wall in the Garden of the Asylum,70
71,"Saint-Rémy-de-Provence,drawing,Figures,landscape",1890,typewritten,2380,3150,1973-B,Winter Landscape with Working Figures,71
72,"Saint-Rémy-de-Provence,painting,landscape,Nature",1889,handwritten,4020,3340,1970-A,Olive Trees on a Hillside,72
73,"Auvers-sur-Oise,drawing,landscape,Nature",1890,other,3070,2360,1970-B,Landscape with the River Oise,73
74,"Saint-Rémy-de-Provence,drawing,landscape,Nature",1890,other,3270,2540,1971-A,The Walled Wheatfield,74
75,"Paris,sketch,drawing",1886,other,1980,1090,1971-B,Figures in an Interior,75
76,"Auvers-sur-Oise,drawing,Still Life,Heads",1890,typewritten,2380,3140,1972-A,Egyptian Head,76
77,"Paris,painting,study,Still Life",1887,handwritten,3270,4100,1972-B,Plaster Cast of a Woman&#39;s Torso,77
78,"Nuenen,painting,Figures,Peasant Life",1885,handwritten,4450,3360,1973-A,Study for &#39;The Potato Eaters&#39;,78
79,"Saint-Rémy-de-Provence,drawing,Figures,landscape",1890,other,2530,2440,1973-B,"Couple with Child, Walking in the Rain",79
80,"Saint-Rémy-de-Provence,painting,Figures,Peasant Life",1889,handwritten,3320,4320,1970-A,Peasant Woman Binding Sheaves (after Millet),80
81,"Nuenen,sketch,drawing",1884,other,750,1240,1970-B,Church,81
82,"Nuenen,drawing,Figures,Peasant Life",1885,other,2110,3460,1971-A,Seated Woman,82
83,"1871 - 1880,Brussels,drawing,Figures,Still Life,Peasant Life",1880,other,2640,4830,1971-B,French Peasant Woman Suckling Her Baby (after Dalou),83
84,"Arles,painting,Cityscape",1888,handwritten,3310,3970,1972-A,View of a Butcher&#39;s Shop,84
85,"Nuenen,drawing,Figures,Peasant Life",1885,typewritten,3470,2110,1972-B,Sale of Building Scrap,85
86,"Paris,painting,landscape,Cityscape",1887,handwritten,4200,3300,1973-A,Square Saint-Pierre at Sunset,86
87,"Arles,painting,Seascape",1888,handwritten,8150,6500,1973-B,Fishing Boats on the Beach at Les Saintes-Maries-de-la-Mer,87
88,"Nuenen,sketch,drawing",1884,other,750,1240,1970-A,Figure,88
89,"Paris,drawing,interior,Cityscape",1887,other,3980,5400,1970-B,Window in the Bataille Restaurant,89
90,"Nuenen,sketch,drawing",1884,other,750,1240,1971-A,Peasant Woman Working in the Fields,90
91,"Antwerp,drawing,Cityscape",1885,typewritten,1660,920,1971-B,View of Het Steen,91
92,"sketch,drawing",1886,typewritten,1360,1020,1972-A,Foot,92
93,,1885,other,810,1020,1972-B,Note,93
94,"sketch,drawing",1890,other,850,1340,1973-A,Standing Male Figure (after Bargue),94
95,"Arles,painting,Seascape",1888,handwritten,6430,5050,1973-B,Seascape near Les Saintes-Maries-de-la-Mer,95
96,"Nuenen,drawing,Figures,Heads,Peasant Life",1884,other,1070,1120,1970-A,Head of a Woman,96
97,"Nuenen,sketch,drawing",1884,other,750,1240,1970-B,Two Heads,97
98,"Paris,drawing,Figures,nude",1886,other,3160,4760,1971-A,Seated Female Nude,98
99,"Paris,painting,Still Life",1887,handwritten,6040,4570,1971-B,Apples,99
100,"Saint-Rémy-de-Provence,drawing,landscape,Nature",1889,typewritten,6380,2380,1972-A,Chestnut Leaf with Pod and Landscape with Cypresses,100
101,"Nuenen,drawing,landscape,Peasant Life",1885,typewritten,3430,2500,1972-B,Wheatfield with a Stook and a Mill,101
102,"Nuenen,drawing,interior,Figures,Peasant Life",1885,typewritten,3710,3040,1973-A,Woman Preparing a Meal,102
103,"Etten,drawing,Figures,Peasant Life",1881,typewritten,4680,6220,1973-B,Digger,103
104,"Nuenen,drawing,Figures,Peasant Life",1885,other,2110,3450,1970-A,Seated Woman,104
105,"Nuenen,drawing,Figures,Peasant Life",1884,other,4520,3250,1970-B,Weaver,105
106,"Paris,painting,Self-Portrait",1886,handwritten,3850,4650,1971-A,Self-Portrait as a Painter,106
107,"Paris,drawing,study,Figures,Still Life,nude",1886,typewritten,3130,4370,1971-B,Torso of Venus,107
108,"Arles,painting,landscape,Nature",1888,handwritten,3500,2400,1972-A,Field with Poppies,108
109,"Saint-Rémy-de-Provence,drawing,Nature",1889,other,1750,2990,1972-B,Trees and Wall in the Garden of the Asylum,109
110,,1885,other,1360,1020,1973-A,Note,110
111,"Nuenen,drawing,Figures,Heads,Peasant Life",1884,pen and brush and ink,790,1240,1973-B,Head of a Woman,111
112,"Auvers-sur-Oise,painting,landscape,Nature",1890,handwritten,10130,5040,1970-A,Wheatfield under Thunderclouds,112
113,"Saint-Rémy-de-Provence,drawing,Figures,landscape",1890,other,3190,2390,1970-B,Winter Landscape with Figures,113
114,"sketch,drawing",1886,other,1360,1020,1971-A,Plaster Cast of a Woman&#39;s Torso,114
115,"Paris,drawing,Cityscape,landscape",1887,other,5380,3980,1971-B,Gardens on Montmartre and the Blute-Fin Windmill,115
116,"Nieuw Amsterdam,painting,landscape,Peasant Life",1883,handwritten,5570,3540,1972-A,Cottages,116
117,"Paris,sketch,drawing",1886,other,1980,1090,1972-B,Moulin de Blute-Fin,117
118,"Arles,drawing,landscape",1888,other,3470,2580,1973-A,Landscape with Path and Pollard Willows,118
119,"Auvers-sur-Oise,painting,Nature",1890,handwritten,4800,6400,1973-B,Ears of Wheat,119
120,"Nuenen,sketch,drawing",1885,typewritten,750,1240,1970-A,Two Women,120
121,"sketch,drawing",1890,other,850,1340,1970-B,Irises,121
122,"Saint-Rémy-de-Provence,drawing,interior",1889,typewritten,4710,6160,1971-A,Vestibule in the Asylum,122
123,"Nuenen,drawing,Figures",1884,typewritten,3420,2130,1971-B,Lap with Hands,123
124,"Nuenen,drawing,Figures,Peasant Life",1884,other,4000,3050,1972-A,Weaver,124
125,"Nuenen,drawing,Figures",1884,typewritten,3460,2110,1972-B,"Three Hands, Two with Knives",125
126,"Paris,painting,Still Life",1887,handwritten,0,5020,1973-A,Red Cabbages and Onions,126
127,"Etten,drawing,landscape,Peasant Life",1881,other,2900,2260,1973-B,Winter Landscape with Hut and Figure,127
128,"The Hague,drawing,Figures",1882,other,2860,4940,1970-A,Old Man Drinking Coffee,128
129,"Nuenen,painting,study,Figures,Heads,Peasant Life",1885,handwritten,3000,4380,1970-B,Head of a Woman,129
130,"Paris,drawing,study,Figures,Still Life,nude",1887,typewritten,2460,3170,1971-A,Torso of Venus,130
131,"Saint-Rémy-de-Provence,drawing,Figures,interior,Peasant Life",1890,other,3200,2440,1971-B,Interior with Two Figures Eating,131
132,"Paris,painting,Self-Portrait",1887,handwritten,3280,4090,1972-A,Self-Portrait with Straw Hat,132
133,"sketch,drawing",1890,typewritten,850,1340,1972-B,Peasants wth Two Horses and Plough,133
134,"Auvers-sur-Oise,print,Portrait",1890,handwritten-diagram,1500,1800,1973-A,Portrait of Dr Gachet,134
135,Antwerp,1886,other,940,1020,1973-B,Note,135
136,"Nuenen,sketch,drawing",1884,typewritten,750,1240,1970-A,Woman,136
137,"The Hague,print,Figures,nude",1882,handwritten-diagram,2920,3920,1970-B,Sorrow,137
138,"Paris,sketch,drawing",1886,other,1980,1090,1971-A,Torso of Venus,138
139,"Nuenen,sketch,drawing",1884,other,750,1240,1971-B,Two Heads of Men,139
140,"Paris,drawing,Self-Portrait",1887,other,2110,1920,1972-A,Self-Portrait,140
141,"Antwerp,drawing,Cityscape",1885,typewritten,3010,2260,1972-B,The Grote Markt,141
142,"Nuenen,sketch,drawing",1884,other,750,1240,1973-A,Head of a Woman,142
143,"Saint-Rémy-de-Provence,drawing,Nature",1889,other,4710,6230,1973-B,Trees with Ivy in the Garden of the Asylum,143
144,"Nuenen,drawing,Figures,Animals,Still Life",1885,typewritten,3440,2120,1970-A,"Hand with a Bowl, and a Cat",144
145,"The Hague,drawing,Figures",1882,other,3600,6000,1970-B,Old Man with a Top Hat,145
146,"Auvers-sur-Oise,print,Portrait",1890,handwritten-diagram,1500,1800,1971-A,Portrait of Dr Gachet,146
147,"sketch,drawing",1890,other,850,1340,1971-B,Woman with a Donkey,147
148,Paris,1886,typewritten,1400,1090,1972-A,Note,148
149,"Saint-Rémy-de-Provence,drawing,interior",1890,other,2510,3250,1972-B,Chair by a Fireplace,149
150,"Nuenen,sketch,drawing",1884,other,750,1240,1973-A,Landscape with Two Horses and Carts,150
151,"Paris,painting,Self-Portrait",1886,handwritten,1900,2720,1973-B,Self-Portrait,151
152,"The Hague,painting",1882,handwritten,5190,3640,1970-A,View of the Sea at Scheveningen,152
153,"Arles,drawing,Nature",1888,other,3200,2440,1970-B,Thistles by the Roadside,153
154,"Paris,drawing,study,Figures,Still Life,nude",1887,typewritten,2460,3170,1971-A,Torso of Venus,154
155,"sketch,drawing",1885,typewritten,1360,1020,1971-B,Head of a Woman,155
156,"sketch,drawing",1890,other,850,1340,1972-A,Standing Male Figure (after Bargue),156
