,keywords,_material,_height,_width,year,_description,id
0,"sketch,drawing",chalk on paper,850,1340,1970,Contours of a Figure,0
1,"55,painting,study,Still Life",oil on cardboard,2700,3500,1971,Male Torso,1
2,"55,painting,study,Still Life",oil on canvas,2710,4080,1972,Plaster Cast of a Woman&#39;s Torso,2
3,"Nuenen,sketch,drawing",pencil on paper,750,1240,1973,Head of a Man,3
4,"Nuenen,sketch,drawing",pencil on paper,750,1240,1970,Head of a Woman and an indistinct image,4
5,"Arles,painting,Cityscape",oil on canvas,9150,7200,1971,The Yellow House (The Street),5
6,"Auvers-sur-Oise,drawing,Animals",pencil on paper,4370,2690,1972,Horse and Carriage,6
7,"Saint-Rémy-de-Provence,painting,Figures,Peasant Life",oil on canvas,2800,4200,1973,Thresher (after Millet),7
8,"Saint-Rémy-de-Provence,drawing,Figures,Animals,Peasant Life",chalk on paper,2470,3300,1970,Study of Horses and Peasants,8
9,"Saint-Rémy-de-Provence,drawing,landscape",pencil on paper,3290,2490,1971,The Walled Wheatfield,9
10,"Saint-Rémy-de-Provence,drawing,Figures,Peasant Life",chalk on paper,2730,2390,1972,Man Working in a Field,10
11,"Paris,drawing,Cityscape",pencil,2410,3160,1973-B,Shed with Sunflowers,11
12,"The Hague,print,Figures",lithography,2700,4280,1970,Old Man Drinking Coffee,12
13,"Nuenen,sketch,drawing",chalk on paper,750,1240,1971,Head of a Woman,13
14,"sketch,drawing",chalk on paper,850,1340,1972,Contours of a figure,14
15,"The Hague,drawing,Animals",pencil,6350,5100,1973,Old Nag,15
16,"The Hague,print,Figures",lithography,3150,4800,1970,A Workman&#39;s Meal Break,16
17,"Saint-Rémy-de-Provence,painting,landscape,Nature",oil on canvas,6430,4900,1971,Undergrowth,17
18,"Auvers-sur-Oise,drawing,Townscape,landscape",pencil,5440,4400,1972,Landscape with Houses,18
19,"Antwerp,drawing,interior",chalk on paper,1630,920,1973,Couple Dancing,19
20,"The Hague,drawing,Figures,Heads",pencil,2800,5010,1970,Head of a Woman,20
21,"Paris,painting,Self-Portrait",oil on canvas,3130,4320,1971,Self-Portrait,21
22,"Arles,painting,Still Life",oil on canvas,7300,9500,1972,Sunflowers,22
23,"Etten,drawing,Figures",pencil,2420,3080,1973,Study of a Hand,23
24,"sketch,drawing",pencil on paper,850,1340,1970,Standing Girl,24
25,"1871 - 1880,The Hague,drawing,Cityscape",pencil,1690,2220,1971,"Lange Vijverberg, The Hague",25
26,"Nuenen,drawing,Still Life",chalk on paper,2100,3450,1972,"Clock, Clog with Cutlery and a Spoon Rack",26
27,Paris,chalk on paper,1980,1090,1973,Note,27
28,"1871 - 1880,Brussels,drawing,study,Portrait",pencil on paper,3050,4260,1970,The Daughter of Jacob Meyer (after Bargue after Holbein),28
29,"Arles,painting,Cityscape,landscape",oil on canvas,7360,5960,1971,The Langlois Bridge,29
30,"Auvers-sur-Oise,drawing,Townscape",chalk on paper,2370,3100,1972,Village Street,30
31,"sketch,drawing",chalk on paper,850,1340,1973,Woman on a Velocipede,31
32,"55,painting,Self-Portrait",oil on canvas,3800,4600,1970,Self-Portrait with Pipe,32
33,"Paris,drawing,Animals",pencil,2620,3530,1971,Barn Owl Viewed from the Front,33
34,"sketch,drawing",chalk on paper,850,1340,1972,Mother and Child,34
35,"Nuenen,sketch,drawing",chalk on paper,750,1240,1973,Hand,35
36,"Nuenen,drawing,Figures",chalk on paper,2080,3470,1970,Woman with a Mourning Shawl,36
37,"55,painting,Cityscape,landscape",oil on canvas,6530,4940,1971,By the Seine,37
38,"Saint-Rémy-de-Provence,drawing,Animals",chalk,2100,1350,1972,Giant Peacock Moth and Beetle,38
39,"Arles,drawing,landscape",pencil,3490,2580,1973,Farmhouse in a Wheatfield,39
40,"Paris,drawing,study,Figures,Still Life,nude",chalk on paper,3520,4730,1970,Idol and Sketches of Venus,40
41,"The Hague,drawing,Figures",pencil on paper,2760,4910,1971,Woman with a Broom,41
42,"Nuenen,sketch,drawing",pencil on paper,750,1240,1972,Perspective frame,42
43,"Nuenen,painting,study,Figures,Heads,Peasant Life",oil on canvas,3450,4220,1973,Head of a Woman,43
44,"Nuenen,drawing,Figures,Peasant Life",chalk on paper,3210,2250,1970,Peasant Lifting Potatoes,44
45,"Paris,drawing,Figures",pencil,800,1110,1971,Sheet of Sketches,45
46,Nuenen,pencil on paper,750,1240,1972,Notes,46
47,"Saint-Rémy-de-Provence,painting,landscape,Peasant Life",oil on canvas,9200,7210,1973,Snow-Covered Field with a Harrow (after Millet),47
48,"Auvers-sur-Oise,print,Portrait",etching,1480,1450,1970,Portrait of Dr Gachet,48
49,"Paris,drawing,Figures",pencil,2630,3940,1971,Tracing of the Cover of Paris Illustr&#233;. Le Japon,49
50,"Nuenen,drawing,landscape,Nature",pencil,2340,2000,1972,The Vicarage Garden,50
51,"Nieuw Amsterdam,painting,Figures,landscape,Peasant Life",oil on canvas,3650,2780,1973,Women on the Peat Moor,51
52,"Nuenen,drawing,Figures,landscape,Peasant Life",chalk on paper,2550,1560,1970,Figures in a Winter Landscape,52
53,"Saint-Rémy-de-Provence,drawing,Figures,interior,Peasant Life",pencil,4980,3330,1971,Interior with Ten Figures,53
54,"Saint-Rémy-de-Provence,drawing,Figures",pencil on paper,710,2300,1972,Sketch of a Woman Seated at a Table and a Woman Standing,54
55,"Saint-Rémy-de-Provence,painting,landscape,Nature",oil on canvas,2720,4350,1973,Cypresses and Two Women,55
56,"Saint-Rémy-de-Provence,painting,Biblical Scene",oil on canvas,6050,7300,1970,Piet&#224; (after Delacroix),56
57,"Nuenen,drawing,landscape,Townscape",chalk on paper,1030,1050,1971,Landscape with a Church,57
58,"Nuenen,painting,Townscape",oil on canvas,4300,3320,1972,The Vicarage at Nuenen,58
59,"Nuenen,painting,Still Life,Peasant Life",oil on canvas,4430,3400,1973,Bobbin Winder,59
60,"Paris,drawing,Figures,nude",pencil on paper,3110,2440,1970,Sorrowing Woman,60
61,"sketch,drawing",pencil on paper,850,1340,1971,Mount,61
62,"Nuenen,drawing,Figures,Peasant Life",pencil,4530,3420,1972,Weaver,62
63,"Paris,drawing,study,Figures,Still Life,nude",chalk on paper,3150,4760,1973,Torso of Venus,63
64,"Paris,painting,Self-Portrait",oil on canvas,3010,4190,1970,Self-Portrait with Pipe and Straw Hat,64
65,"Antwerp,drawing,Figures",charcoal,3920,5090,1971,Seated Man with a Beard,65
66,"Paris,drawing,Figures,nude",chalk on paper,4820,6170,1972,Seated Male Nude Seen from the Back,66
67,"The Hague,drawing,landscape",,3440,2460,1973,Country Road,67
68,"Antwerp,painting,study,Portrait,Figures,Heads",oil on canvas,3850,4630,1970,Portrait of a Prostitute,68
69,"Nuenen,drawing,study,Figures",chalk on paper,3440,2080,1971,Arm,69
70,"Saint-Rémy-de-Provence,drawing,Nature",pencil on paper,2060,2980,1972,Almond Tree and Wall in the Garden of the Asylum,70
71,"Saint-Rémy-de-Provence,drawing,Figures,landscape",chalk on paper,2380,3150,1973,Winter Landscape with Working Figures,71
72,"Saint-Rémy-de-Provence,painting,landscape,Nature",oil on canvas,4020,3340,1970,Olive Trees on a Hillside,72
73,"Auvers-sur-Oise,drawing,landscape,Nature",pencil on paper,3070,2360,1971,Landscape with the River Oise,73
74,"Saint-Rémy-de-Provence,drawing,landscape,Nature",pencil on paper,3270,2540,1972,The Walled Wheatfield,74
75,"Paris,sketch,drawing",pencil on paper,1980,1090,1973,Figures in an Interior,75
76,"Auvers-sur-Oise,drawing,Still Life,Heads",chalk on paper,2380,3140,1970,Egyptian Head,76
